SITE,TRANSECT,DEPTH_MLLW_M,SD_DEPTH,CV_DEPTH,LATITUDE,LONGITUDE,SITE_NAME
AQUE,4,7.1,0.3,3.6,34.467467,-120.117183,Arroyo Quemado
AQUE,7,8.5,0.3,3.6,34.467433,-120.117833,Arroyo Quemado
AQUE,8,8.9,0.2,1.9,34.467283,-120.117783,Arroyo Quemado
CARP,7,6.3,0.4,6.1,34.391233,-119.541833,Carpinteria
CARP,9,6.5,0.1,2.2,34.391133,-119.541183,Carpinteria
CARP,10,5.8,0.4,7.6,34.391217,-119.541183,Carpinteria
MOHK,2,5.9,0.2,4,34.39415,-119.729367,Mohawk
MOHK,3,6.7,0.2,2.6,34.3938,-119.729483,Mohawk
MOHK,4,7.1,0.3,4.1,34.394,-119.729417,Mohawk
NAPL,3,6.6,0.4,6.1,34.422433,-119.9517,Naples
NAPL,9,7.5,0.4,5.5,34.42215,-119.951217,Naples
NAPL,10,8.2,0.4,4.5,34.422033,-119.951217,Naples
IVEE,3,5.8,,,34.404583,-119.8632,Isla Vista
IVEE,4,5.8,,,34.40445,-119.862583,Isla Vista
